Date Time,Tin,Tout,GasUsed,Srd
2018-11-04 15:00:00,18.46054545,11.625,4.6768735999999995,51
2018-11-04 16:00:00,18.75472727,11.527999999999999,1.0021871999999998,30
2018-11-04 17:00:00,18.53827273,10.944,4.008748799999999,16
2018-11-04 18:00:00,18.68554545,10.944,0.556770667,2
2018-11-04 19:00:00,18.46909091,10.259,5.233644266000001,2
2018-11-04 20:00:00,18.61618182,9.373,0.44541653299999995,1
2018-11-04 21:00:00,18.55554545,7.882000000000001,5.344998400000001,2
2018-11-04 22:00:00,18.52963636,6.775,0.44541653299999995,1
2018-11-04 23:00:00,18.56418182,8.282,0.0,1
2018-11-05 00:00:00,18.14909091,7.983,0.0,1
2018-11-05 01:00:00,17.82909091,8.779,0.0,1
2018-11-05 02:00:00,17.55245455,8.581,0.0,1
2018-11-05 03:00:00,17.30145455,6.978,0.0,2
2018-11-05 04:00:00,17.05036364,5.5520000000000005,0.0,2
2018-11-05 05:00:00,16.84281818,5.757000000000001,0.0,1
2018-11-05 06:00:00,16.67827273,7.582000000000001,12.13760053,1
2018-11-05 07:00:00,18.06272727,8.082,0.890833068,1
2018-11-05 08:00:00,18.028,8.382,5.456352534,2
2018-11-05 09:00:00,18.14909091,9.077,0.556770667,12
2018-11-05 10:00:00,18.02809091,10.259,0.0,34
2018-11-05 11:00:00,17.68209091,10.944,0.0,45
2018-11-05 12:00:00,17.613,13.558,0.0,68
2018-11-05 13:00:00,17.613,13.942,0.0,139
2018-11-05 14:00:00,17.54372727,14.038,0.0,361
2018-11-05 15:00:00,17.44845455,12.883,0.0,277
2018-11-05 16:00:00,17.20636364,12.401,0.0,80
2018-11-05 17:00:00,17.02454545,9.866,0.0,16
2018-11-05 18:00:00,16.85145455,9.472000000000001,11.13541333,1
2018-11-05 19:00:00,18.07990909,8.581,1.113541334,1
2018-11-05 20:00:00,18.13172727,9.077,4.899581866,1
2018-11-05 21:00:00,18.07136364,9.472000000000001,1.893020266,1
2018-11-05 22:00:00,18.27018182,9.571,0.0,2
2018-11-05 23:00:00,17.90681818,8.779,0.0,1
2018-11-06 00:00:00,17.57845455,9.077,0.0,2
2018-11-06 01:00:00,17.336,8.481,0.0,2
2018-11-06 02:00:00,17.11109091,7.882000000000001,0.0,2
2018-11-06 03:00:00,16.90336364,8.082,0.0,2
2018-11-06 04:00:00,16.75627273,9.571,0.0,2
